STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000713,0,0,0,273,172
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000714,0,0,0,286,160
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000715,5,0,0,248,176
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000716,30,0,0,244,165
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000717,5,0,0,249,187
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000718,45,0,0,240,138
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000719,0,0,0,206,120
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000720,0,0,0,230,96
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000721,0,0,0,212,142
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000722,15,0,0,216,141
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000723,45,0,0,240,137
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000724,0,0,0,271,158
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000725,0,0,0,293,155
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000726,0,0,0,283,187
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000727,35,0,0,243,183
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000728,5,0,0,271,185
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000729,15,0,0,276,184
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000730,0,0,0,283,186
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000731,0,0,0,270,198
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000801,70,0,0,236,188
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000802,0,0,0,286,194
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000803,70,0,0,262,142
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000804,0,0,0,236,126
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000805,0,0,0,251,142
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000806,0,0,0,255,156
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000807,40,0,0,251,180
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000808,5,0,0,259,183
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000809,105,0,0,258,188
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000810,0,0,0,273,167
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000811,20,0,0,221,164
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000812,0,0,0,265,162
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000813,0,0,0,268,133
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000814,0,0,0,266,154
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000815,325,0,0,276,166
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000816,100,0,0,247,134
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000817,0,0,0,167,105
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000818,0,0,0,216,105
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000819,30,0,0,217,122
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000820,10,0,0,204,114
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000821,0,0,0,239,105
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000822,0,0,0,229,136
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000823,110,0,0,186,153
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000824,0,0,0,236,155
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000825,0,0,0,271,155
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000826,135,0,0,264,156
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000827,5,0,0,236,141
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000828,0,0,0,225,111
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000829,0,0,0,269,115
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000830,0,0,0,275,191
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000831,0,0,0,292,186
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000901,0,0,0,300,155
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000902,70,0,0,169,125
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000903,40,0,0,214,114
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000904,0,0,0,193,64
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000905,0,0,0,167,52
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000906,0,0,0,183,49
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000907,0,0,0,229,104
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000908,0,0,0,237,139
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000909,0,0,0,236,117
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000910,0,0,0,256,108
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000911,150,0,0,203,185
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000912,185,0,0,250,159
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000913,0,0,0,216,117
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000914,5,0,0,191,147
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000915,70,0,0,161,111
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000916,5,0,0,-9999,-9999
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000917,0,0,0,177,96
