"Point d'échantillonnage","Date","%OD","O2 (mg/L)","Conductivité (µs/cm2)","pH","Température (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","Sn2 ug/L","U (µg/L)","V (µg/L)","Zn (µg/L)"
"AAO-3.3P6","2012-07-30  11:36:28","99","9,07","1347","8","19,7","=","11000","1","0,1","21,2","0,3","51,3","0,1","111682","0,1","0,1","2,8","0,3","2,698","116,7","4304","31020","20,8","2,5","110010","123,3","1,7","126","0,2","2,7","0,5","0,5","1","1,5","1","6,5"
"AAO-3.3P6","2012-09-11  10:26:50","74","7,16","1163","8,1","17","=","3600","1","0,1","27,4","0,4","50,1","0,1","105668","0,1","0,2","2,6","0,5","2,552","176,2","3986","26380","63,1","2","84940","54","1,9","57","0,2","1,8","0,5","0,5","1","1,2","1,1","5,2"
"AAO-3.3P6","2012-10-10  11:00:42","82","8,27","1266","8","14,6","=","10000","1","0,1","47,1","0,5","55,4","0,1","117738","0,1","0,2","2,8","0,7","9,82","201,2","4546","32860","39,2","2,3","116968","124","3","97","0,2","7,9","0,5","0,5","1","1,5","1","6,5"
"AAO-3.3P6","2012-10-31  11:33:16","81","8,12","863","8,1","14,9","=","30000","-1","0,1","270,2","0,4","36,1","0,1","69060","0,1","0,3","9,8","1,4","12,136","390","5352","19266","54,3","2,1","76540","20","2,4","118","1","10,8","0,626","0,5","1","1","1,5","16,8"
"AAO-3.5","2012-05-22  12:46:59","93","8,8","597","8,1","17,8","=","33000","0","0,1","367,6","0,5","38,6","0,1","48840","0,1","0,3","7,3","1,7","4,372","436,6","2340","16214","28,7","2,1","47760","68,7","2,3","51","0,7","8,8","0,5","0,5","1","0,5","1,4","17,5"
"AAO-3.5","2012-06-04  11:07:05","89","9,35","1290","8","13","=","130","-2","0,1","99,8","1,1","74,3","0,1","108286","0,1","0,2","3,9","0,3","1,295","271","3130","35920","17,6","3,9","120794","24","2,4","24","0,2","3,5","0,5","0,8","1","1,7","1","3,5"
"AAO-3.5","2012-07-03  12:27:45","80","8,31","1897","7,5","13,5","=","54","1","0,1","85,5","0,7","75,9","0,1","123168","0,1","0,3","3","0,5","2,05","826,8","4716","46760","64,5","4,2","189424","25,8","2,7","18","0,2","4,8","0,5","0,5","1","2","0,6","11,2"
"AAO-3.5","2012-07-30  11:45:15","76","7,79","1768","7,7","14,3","=","72","1","0,1","36,5","0,6","80,2","0,1","119532","0,1","0,1","2,3","0,3","2,028","678","4354","43680","57,7","4","172264","20","2,3","13","0,2","2,9","0,5","0,5","1","2","0,7","8,3"
"AAO-3.5","2012-09-11  10:44:41","70","7,15","1285","7,9","13,7","=","540","1","0,1","60,1","0,6","73,3","0,1","106430","0,1","0,2","2,5","1,3","1,373","538,4","4026","37740","67,3","3,8","117818","20","2","13","0,3","3,6","0,5","0,5","1","1,6","0,7","6"
"AAO-3.5","2012-10-10  11:17:36","90","9,31","795","8,2","14","<","10","1","0,1","49,5","0,5","44","0,1","67560","0,1","0,2","2,5","0,4","0,734","312,8","2714","21500","29","2","73580","20","1,4","7","0,2","2","0,5","0,5","1","0,8","0,8","7,8"
"AAO-3.5","2012-10-31  11:48:24","98","10,28","705","8,1","13","=","120","-1","0,1","373","0,5","40,4","0,1","56420","0,1","0,3","3,8","0,9","2,17","653,8","2528","16782","34,2","1,9","57240","20","1,7","26","1","9,2","0,5","0,5","1","0,7","1,6","16,6"
"AAO-3.6","2012-05-22  13:14:45","89","8,3","528","8,2","18,5",">","60000","0","0,1","408,8","0,6","34,1","0,1","42300","0,1","0,3","6,9","1,4","4,124","495,6","2098","13558","28,5","1,9","39440","73","2,1","59","0,8","13,8","0,5","0,5","1","0,4","1,5","13,1"
"AAO-3.6","2012-06-04  11:36:51","91","9,46","1278","8,1","13","=","140","-2","0,1","110,1","0,4","73,8","0,1","105062","0,1","0,2","3,7","0,5","1,096","255","2830","33960","17,6","3,5","112074","20","2,3","23","0,2","3","0,5","0,5","1","1,5","0,9","6"
"AAO-3.6","2012-07-03  13:01:45","100","9,32","1311","8,1","18,8","=","190","1","0,1","201,2","0,5","66,8","0,1","94620","0,1","0,2","2,6","0,4","1,7","729","2928","38080","29,9","4,4",,"20","2,1","32","0,2","6,3","0,5","0,5","1","1,2","1","10,7"
"AAO-3.6","2012-07-30  12:20:29","88","8,04","1302","8","18,6","=","150","1","0,1","67,4","0,2","70,3","0,1","96160","0,1","0,1","2,1","0,3","0,806","372,4","2770","35920","22,6","4,3",,"20","1,8","15","0,2","3,3","0,5","0,5","1","1,2","0,9","6,3"
"AAO-3.6","2012-09-11  11:26:55","86","9,07","860","8","12,7","=","140","1","0,1","255,4","0,4","58,4","0,1","80880","0,1","0,3","3","0,9","1,431","627","2972","26860","35,7","3,1","62120","20","1,9","33","0,3","4,8","0,5","0,5","1","0,7","1,2","8,2"
