"Point d'échantillonnage","Date","Température (oC)","Conductivité (µs/cm2)","pH","Signe","Coliformes fécaux (colonies/100mL)"
"FSL-190","2011-09-07  11:06:07","21,2","299","8,3","=","460"
"FSL-190","2011-05-18  13:01:19","10","263","8,1","=","54"
"FSL-190","2011-06-27  13:12:49","18,9","299","8","=","26"
"FSL-190","2011-09-28  11:12:06","19","308","8,5","=","20"
"FSL-200","2011-06-08  12:26:47","18,5","224","8,4","=","42"
"FSL-200","2011-07-18  12:10:03","24,3","271","8,2","=","370"
"FSL-200","2011-09-19  11:45:20","18,8","275","8,4","=","68"
"FSL-200","2011-06-21  13:37:40","20,8","260","8,4","=","21"
"FSL-200","2011-07-06  10:56:49","22","259","8,2","=","42"
"FSL-200","2011-08-29  12:26:26","21,3","279","8,4","=","500"
"FSL-200","2011-09-13  11:38:40","21,5","271","8,5","=","41"
"FSL-200","2011-06-14  12:57:03","18,6","234","8","=","160"
"FSL-200","2011-07-12  12:25:06","23,2","259","8,3","=","10"
"FSL-200","2011-07-27  11:52:52","24,2","267","8,4","=","16"
"FSL-200","2011-08-02  12:00:06","24,7","273","8,4","=","560"
"FSL-200","2011-08-08  12:57:38","25,5","279","8,6","=","110"
"FSL-200","2011-08-17  12:04:51","23,9","277","8,5","=","8"
"FSL-200","2011-08-23  11:39:39","22,7","283","8,4","=","100"
"FSL-200","2011-09-07  11:31:23","21,5","276","8,4","=","45"
"FSL-200","2011-05-24  13:09:00","14,9","202","7,9","=","23"
"FSL-200","2011-05-30  13:13:24","17,2","222","8,1","=","16"
"FSL-200","2011-06-27  13:44:11","20,9","260","8","=","15"
"FSL-200","2011-09-28  11:37:40","19,7","286","8,5","=","34"
"FSL-200",,,,,,
"FSL-300","2011-06-08  13:22:47","17,7","236","8,4","=","3"
"FSL-300","2011-07-18  12:43:35","23,6","278","8,4","=","11"
"FSL-300","2011-09-19  13:02:26","18","275","8,6","=","15"
"FSL-300","2011-06-21  14:24:08","19,6","269","8,4","=","7"
"FSL-300","2011-07-06  11:25:25","21,7","270","8,2","=","30"
"FSL-300","2011-08-29  12:59:20","20,5","278","8,4","=","420"
"FSL-300","2011-09-13  12:11:51","21,1","281","8,4","=","330"
"FSL-300","2011-05-24  13:49:00","14,3","233","8,2","=","5"
"FSL-300","2011-05-30  13:51:11","14,4","227","8,2","=","8"
"FSL-300","2011-06-14  13:34:45","17,2","248","8,4","=","34"
"FSL-300","2011-07-12  13:08:34","22,7","295","8,2","=","20"
"FSL-300","2011-07-27  12:28:36","23,6","279","8,5","=","13"
"FSL-300","2011-08-02  12:33:08","24","281","8,4","=","410"
"FSL-300","2011-08-08  13:33:11","24,6","278","8,5","=","16"
"FSL-300","2011-08-17  12:42:07","23,3","282","8,4","=","20"
"FSL-300","2011-08-23  12:12:22","21,8","292","8,4","=","58"
"FSL-300","2011-09-07  13:28:12","21,1","345","8,4","=","18"
