Année,Latitude,Longitude,Espèce,Engin,Secteur,Station,Agence,Nombre d'individus
Jul-01,46.74153,-71.29483,Écrevisse géante,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,2
Aug-01,46.74165,-71.29387,Écrevisse géante,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,2
May-01,45.749565,-73.415085,Écrevisse géante,Seine de rivage,Montréal-Sorel,Île Beauregard,EC-CSL,1
Jul-01,45.75833,-71.33833,Écrevisse à pinces bleues,Manuelle,Tributaire sud,Lac Elgin,EC-CSL,1
Aug-01,45.926666,-73.24333,Orconectes sp.,Manuelle,Montréal-Sorel,Lavaltrie,EC-CSL,2
Sep-02,45.4264,-73.823,Orconectes sp.,Manuelle,Lac Saint-Louis,Pointe Claire,EC-CSL,1
Jun-00,45.6039,-72.7277,Écrevisse à rostre caréné,Filet troubleau,Tributaire sud,Rivière Noire,UQTR,4
Jul-00,46.2267,-73.0172,Écrevisse à épines,Filet troubleau,Tributaire nord,Rivière Maskinongé,UQTR,1
Aug-12,45.384815,-73.25027,Hybride,Manuelle,Haut-Richelieu,Grande décharge,EC-CSL,1
Jun-00,46.6205,-72.4099,Écrevisse de ruisseau,Filet troubleau,Tributaire nord,Rivière des Envies,UQTR,1
Jun-01,45.433334,-73.7375,Écrevisse à épines,Seine de rivage,Lac Saint-Louis,Île Dorval,EC-CSL,1
Oct-00,46.74111,-71.295,Écrevisse géante,Trappe à anguilles,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
May-01,45.56139,-73.49556,Écrevisse à pinces bleues,Filet maillant ou expérimental,Montréal-Sorel,Île Lebel,EC-Biosphère,1
Apr-02,46.80111,-71.1925,Écrevisse de ruisseau,Paniers de pré-filtration,Saint-Nicolas - Montmagny,Lévis,EC-CSL,1
Jun-01,45.7125,-73.442,Écrevisse à épines,Seine de rivage,Montréal-Sorel,Île Deslauriers,EC-CSL,4
Jun-00,46.2974,-72.9118,Écrevisse à pinces bleues,Filet troubleau,Tributaire nord,Rivière du Loup,UQTR,1
May-01,46.736782,-71.3088,Écrevisse à épines,Seine de rivage 3 mm,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Sep-02,45.3857,-73.7725,Hybride,Manuelle,Lac Saint-Louis,Île St-Bernard,EC-CSL,2
Oct-00,46.74111,-71.295,Hybride,Trappe à anguilles,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,2
Oct-00,46.74111,-71.295,Écrevisse de ruisseau,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,3
May-02,45.618168,-73.46833,Écrevisse à épines,Seine de rivage 3 mm,Montréal-Sorel,Îles de Boucherville,EC-CSL,1
Aug-01,45.878613,-73.26833,Écrevisse de ruisseau,Manuelle,Montréal-Sorel,Île Lavaltrie,EC-CSL,2
Aug-01,46.741333,-71.29365,Écrevisse à épines,Cage Tomahawk,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Oct-01,45.703835,-73.452385,Écrevisse à épines,Seine de rivage,Montréal-Sorel,Îlet Vert,EC-CSL,1
May-01,46.741333,-71.29365,Écrevisse à épines,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Oct-01,46.183334,-72.76667,Écrevisse à épines,unknown,Lac Saint-Pierre,Lac St-Pierre,EC-CSL,2
Jun-01,46.669483,-71.84578,Écrevisse à épines,Nasse à méné,Grondines-Saint-Nicolas,Pointe-au-Platon,EC-CSL,19
Jul-02,45.3328,-73.857,Hybride,Manuelle,Lac Saint-Louis,Îles de la Paix,EC-CSL,2
Jul-02,45.4054,-73.544,Écrevisse à rostre caréné,Manuelle,Montréal-Sorel,Ste-Catherine,EC-CSL,5
Sep-00,46.74111,-71.295,Écrevisse de ruisseau,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Jul-00,46.4243,-70.5587,Écrevisse de ruisseau,Filet troubleau,Tributaire sud,Rivière Etchemin,UQTR,2
Sep-01,45.163334,-74.42,Écrevisse à pinces bleues,Seine de rivage,Lac Saint-François,Lac St-François,EC-CSL,1
Oct-01,46.74153,-71.29483,Écrevisse géante,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,13
